Altium Designer Pick and Place Locations
W:\Altium\AltiumSTM32_ExamplePCB\Project Outputs for AltiumSTM32_ExamplePCB\Pick Place for AltiumSTM32_PCB_2.csv

========================================================================================================================
File Design Information:

Date:       15/01/26
Time:       23:03
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"X1","24MHz","TopLayer","XTAL_3225","4.7750","13.0500","0","Crystal SMD 24MHz 10PPM 7pF 3225"
"U3","MPU-6050","TopLayer","IS-QFN-24_V","5.8750","26.7500","270","3-Axis Gyroscope, Accelerometer and a Digital Motion Processor(TM) (DMP), 2.375 to 3.46 V, -40 to 85 degC, 24-Pin QFN, RoHS, Tape and Reel"
"U2","STM32F411CEU6","TopLayer","STM-UFQFPN48_L","12.7750","18.2500","0","ARM Cortex-M4 32-bit MCU+FPU, 512 KB Flash, 128 KB RAM, 36 I/Os, 48-Pin UFQFPN, -40 to 85 degC, Tray"
"U1","AMS1117-3.3","TopLayer","FP-AMS1117-IPC_C","20.6250","6.0000","270","LDO Voltage Regulators 1A, 3.3V"
"R7","10k","TopLayer","RES_0402","22.8750","30.7500","0","Resistor SMD 0402"
"R6","10k","TopLayer","RES_0402","12.6250","25.0000","270","Resistor SMD 0402"
"R5","1k","TopLayer","RES_0402","17.8750","14.2500","0","Resistor SMD 0402"
"R4","2k2","TopLayer","RES_0402","13.1250","26.5000","180","Resistor SMD 0402"
"R3","2k2","TopLayer","RES_0402","15.1250","26.5000","0","Resistor SMD 0402"
"R2","0R","TopLayer","RES_0402","5.8750","16.7500","180","Resistor SMD 0402"
"R1","1k","TopLayer","RES_0402","28.3750","7.2500","0","Resistor SMD 0402"
"J3","SM06B-GHS-TB","TopLayer","SM06B-GHS-TB","10.3750","2.7500","0","Header Connector 6 Position 1.25MM Pitch SMD Horizontal JST GH"
"J2","TC2030","TopLayer","TC2030-FP","21.6450","26.6150","180","Tag-Connect No-Solder SWD Debug Connector DO NOT PLACE"
"J1","473460001","TopLayer","FP-473460001-MFG","32.1450","19.7500","90","CONN RCPT USB2.0 MICRO B SMD R/A"
"FB1","120R","TopLayer","FB_0603","27.1250","17.7500","180","Ferrite Bead SMD 0603"
"D2","RED","TopLayer","LED_0402_RED","17.8750","15.7500","0","LED 0402 RED SMD"
"D1","GREEN","TopLayer","LED_0402_GREEN","28.3750","5.0000","0","LED 0402 GREEN SMD"
"C18","2n2","TopLayer","CAP_0402","9.1250","25.5000","270","Capacitor SMD 0402"
"C17","10n","TopLayer","CAP_0402","2.3750","28.0000","90","Capacitor SMD 0402"
"C16","100n","TopLayer","CAP_0402","2.3750","26.0000","90","Capacitor SMD 0402"
"C15","100n","TopLayer","CAP_0402","5.3750","23.2500","180","Capacitor SMD 0402"
"C14","100n","TopLayer","CAP_0402","20.6250","30.7500","0","Capacitor SMD 0402"
"C13","2u2","TopLayer","CAP_0603","13.8750","12.7500","90","Capacitor SMD 0603"
"C12","100n","TopLayer","CAP_0402","10.3750","23.0000","180","Capacitor SMD 0402"
"C11","100n","TopLayer","CAP_0402","17.8750","21.0000","90","Capacitor SMD 0402"
"C10","100n","TopLayer","CAP_0402","16.3750","13.2500","0","Capacitor SMD 0402"
"C9","100n","TopLayer","CAP_0402","7.8750","16.2500","270","Capacitor SMD 0402"
"C8","100n","TopLayer","CAP_0402","7.8750","20.5000","90","Capacitor SMD 0402"
"C7","2u2","TopLayer","CAP_0603","6.3750","20.2500","90","Capacitor SMD 0603"
"C6","10p","TopLayer","CAP_0402","5.8750","15.5000","0","Capacitor SMD 0402"
"C5","10p","TopLayer","CAP_0402","4.1250","16.2500","90","Capacitor SMD 0402"
"C4","22u","TopLayer","CAP_0805","25.8750","6.0000","270","Capacitor SMD 0805"
"C3","22u","TopLayer","CAP_0805","21.8750","11.5000","180","Capacitor SMD 0805"
"C2","2u2","TopLayer","CAP_0603","26.3750","15.2500","90","Capacitor SMD 0603"
"C1","2u2","TopLayer","CAP_0603","27.8750","15.2500","90","Capacitor SMD 0603"
